no;nr;year;agric;black;bus;construc;ent;exper;fin;hisp;poorhlth;hours;manuf;married;min;nrthcen;nrtheast;occ1;occ2;occ3;occ4;occ5;occ6;occ7;occ8;occ9;per;pro;pub;rur;south;educ;tra;trad;union;lwage;d81;d82;d83;d84;d85;d86;d87;expersq;diff_lwage;diff_union
1;13;1980;0;0;1;0;0;1;0;0;0;2672;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;1.197540164;0;0;0;0;0;0;0;1;NA;NA
2;13;1981;0;0;0;0;0;2;0;0;0;2320;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;14;0;0;0;1.853060007;1;0;0;0;0;0;0;4;0.655519843;0
3;13;1982;0;0;1;0;0;3;0;0;0;2940;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;1.344461679;0;1;0;0;0;0;0;9;-0.508598328;0
4;13;1983;0;0;1;0;0;4;0;0;0;2960;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;1.433213353;0;0;1;0;0;0;0;16;0.088751674;0
5;13;1984;0;0;0;0;0;5;0;0;0;3071;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;14;0;0;0;1.568125129;0;0;0;1;0;0;0;25;0.134911776;0
6;13;1985;0;0;1;0;0;6;0;0;0;2864;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.699890971;0;0;0;0;1;0;0;36;0.131765842;0
7;13;1986;0;0;1;0;0;7;0;0;0;2994;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;-0.720262587;0;0;0;0;0;1;0;49;-2.420153558;0
8;13;1987;0;0;1;0;0;8;0;0;0;2640;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.669187903;0;0;0;0;0;0;1;64;2.38945049;0
9;17;1980;0;0;0;0;0;4;0;0;0;2484;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.675962448;0;0;0;0;0;0;0;16;NA;NA
10;17;1981;0;0;0;0;0;5;0;0;0;2804;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.518398166;1;0;0;0;0;0;0;25;-0.157564282;0
11;17;1982;0;0;0;0;0;6;0;0;0;2530;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.559190512;0;1;0;0;0;0;0;36;0.040792346;0
12;17;1983;0;0;0;0;0;7;0;0;0;2340;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.725410104;0;0;1;0;0;0;0;49;0.166219592;0
13;17;1984;0;0;0;0;0;8;0;0;0;2486;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.622022271;0;0;0;1;0;0;0;64;-0.103387833;0
14;17;1985;0;0;0;1;0;9;0;0;0;2164;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;1.608588219;0;0;0;0;1;0;0;81;-0.013434052;0
15;17;1986;0;0;0;1;0;10;0;0;0;2749;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;1.57238543;0;0;0;0;0;1;0;100;-0.036202788;0
16;17;1987;0;0;0;1;0;11;0;0;0;2476;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;0;0;0;1.820333838;0;0;0;0;0;0;1;121;0.247948408;0
17;18;1980;0;0;0;0;0;4;0;0;0;2332;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1.51596272;0;0;0;0;0;0;0;16;NA;NA
18;18;1981;0;0;0;0;0;5;0;0;0;2116;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1.7353791;1;0;0;0;0;0;0;25;0.21941638;0
19;18;1982;0;0;0;0;0;6;0;0;0;2500;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1.63174367;0;1;0;0;0;0;0;36;-0.10363543;0
20;18;1983;0;0;0;0;0;7;0;0;0;2474;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1.998228788;0;0;1;0;0;0;0;49;0.366485119;0
21;18;1984;0;0;0;0;0;8;0;0;0;2362;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.18401432;0;0;0;1;0;0;0;64;0.185785532;0
22;18;1985;0;0;0;0;0;9;0;0;0;2340;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.266662121;0;0;0;0;1;0;0;81;0.0826478;0
23;18;1986;0;0;0;0;0;10;0;0;0;2340;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.069943905;0;0;0;0;0;1;0;100;-0.196718216;0
24;18;1987;0;0;0;0;0;11;0;0;0;2340;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.873160839;0;0;0;0;0;0;1;121;0.803216934;0
25;45;1980;0;0;0;0;0;2;0;0;0;1864;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;12;1;0;1;1.894114971;0;0;0;0;0;0;0;4;NA;NA
26;45;1981;0;0;0;0;0;3;0;0;0;2021;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;1;0;1;1.471159339;1;0;0;0;0;0;0;9;-0.422955632;0
27;45;1982;0;0;0;0;0;4;0;0;0;2274;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.47349751;0;1;0;0;0;0;0;16;0.002338171;-1
28;45;1983;0;0;0;0;0;5;0;0;0;2112;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.740914226;0;0;1;0;0;0;0;25;0.267416716;0
29;45;1984;0;0;1;0;0;6;0;0;0;1920;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.823213696;0;0;0;1;0;0;0;36;0.082299471;0
30;45;1985;0;0;0;0;0;7;0;0;0;2205;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.908272862;0;0;0;0;1;0;0;49;0.085059166;0
31;45;1986;0;0;0;0;0;8;0;0;0;2551;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1.742447376;0;0;0;0;0;1;0;64;-0.165825486;0
